District,Total_Area,Irrigated_Area,Unirrigated_Area,Crop_Diversity,Irrigation_Pct,top_crops
Villupuram,1028393.56,764774.01,263619.54,128,74.4,"Paddy, Sugarcane, Kharif Paddy"
Cuddalore,695401.64,469976.04,225425.77,102,67.6,"Paddy, Kharif Paddy, Urad"
Tiruvannamalai,693187.6900000001,562362.18,130825.51,132,81.1,"Paddy, Groundnut, Kharif Paddy"
Thiruvarur,685987.62,574490.45,111497.11,55,83.7,"Paddy, Kharif Paddy, Moong"
Thanjavur,657030.52,607878.58,49151.94,106,92.5,"Paddy, Kharif Paddy, Coconut"
Nagapattinam,632044.94,414181.89,217863.0,64,65.5,"Paddy, Kharif Paddy, Urad"
Ramanathapuram,620010.11,337130.15,282879.95,65,54.4,"Paddy, Kharif Paddy, Urad"
Salem,544240.8,290158.42,254082.28,145,53.3,"Jowar, Maize, Paddy"
Dindigul,527211.6,253006.82,274204.78,145,48.0,"Jowar, Coconut, Maize"
Erode,527041.99,338214.87,188827.2,136,64.2,"Paddy, Fodder & Green Manures, Other Fodder Crops"
Tiruchirappalli,464870.6,298488.57,166381.98,122,64.2,"Paddy, Jowar, Kharif Paddy"
Tiruppur,455298.27999999997,318652.73,136645.55,124,70.0,"Coconut, Maize, Jowar"
Tirunelveli,451659.47000000003,357354.91000000003,94304.59,137,79.1,"Paddy, Kharif Paddy, Coconut"
Vellore,437213.7,273554.46,163659.31,137,62.6,"Paddy, Groundnut, Coconut"
Krishnagiri,419768.8,161511.86,258257.01,136,38.5,"Ragi, Mangoes, Paddy"
Tuticorin,418631.17,117241.79,301389.37,125,28.0,"Moong, Urad, Paddy"
Namakkal,414250.51,200395.05,213855.2,131,48.4,"Jowar, Sugarcane, Groundnut"
Pudukkottai,388543.92,332400.16000000003,56143.81,111,85.6,"Paddy, Kharif Paddy, Groundnut"
Dharmapuri,373550.66,183202.58,190348.13,142,49.0,"Paddy, Jowar, Tapioca (Cassava)"
Kanchipuram,370336.71,351372.41,18964.23,92,94.9,"Paddy, Kharif Paddy, Groundnut"
Madurai,360640.52999999997,256729.58000000002,103910.91,132,71.2,"Paddy, Kharif Paddy, Jowar"
Coimbatore,345742.62,244617.65,101124.99,143,70.8,"Coconut, Jowar, Paddy"
Virudhunagar,320488.14,182976.05,137512.04,112,57.1,"Paddy, Maize, Kharif Paddy"
Sivaganga,302090.7,231806.72,70284.03,87,76.7,"Paddy, Kharif Paddy, Coconut"
Ariyalur,264982.21,102656.02,162326.27,112,38.7,"Cashewnuts, Paddy, Maize"
Karur,247421.04,129794.24,117626.9,110,52.5,"Jowar, Paddy, Fodder & Green Manures"
Tiruvallur,245081.59,233421.82,11659.76,83,95.2,"Paddy, Kharif Paddy, Pre Kharif Paddy"
Theni,244407.92,155013.78,89394.03,141,63.4,"Coconut, Maize, Jowar"
Perambalur,212577.73,74788.85,137788.84,92,35.2,"Maize, Cotton, Paddy"
Kanniyakumari,186593.57,102432.67,84160.86,123,54.9,"Coconut, Rubber, Paddy"
The Nilgiris,163661.88,4451.22,159210.6,71,2.7,"Tea, Coffee, Potato"
Thiruvallur,105525.59,99597.7,5927.89,59,94.4,"Paddy, Mangoes, Groundnut"
